Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 128, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 786,560
  scalars                 : 8
  total                   : 4,980,872
Estimated FLOPs per token: 1.258368e+07
Scaling AdamW LRs by 1/sqrt(128/768) = 2.449490
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010471 | lrm: 1.00 | dt: 1321ms | tok/sec: 774 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.998067 | lrm: 1.00 | dt: 322ms | tok/sec: 3,175 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.988274 | lrm: 1.00 | dt: 230ms | tok/sec: 4,447 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.960670 | lrm: 1.00 | dt: 305ms | tok/sec: 3,359 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.954554 | lrm: 1.00 | dt: 211ms | tok/sec: 4,855 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.930305 | lrm: 1.00 | dt: 213ms | tok/sec: 4,799 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.912469 | lrm: 1.00 | dt: 215ms | tok/sec: 4,764 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.880452 | lrm: 1.00 | dt: 220ms | tok/sec: 4,647 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.846820 | lrm: 1.00 | dt: 215ms | tok/sec: 4,763 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.783105 | lrm: 1.00 | dt: 252ms | tok/sec: 4,067 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.657984 | lrm: 1.00 | dt: 227ms | tok/sec: 4,519 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.555706 | lrm: 1.00 | dt: 215ms | tok/sec: 4,758 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 8.449858 | lrm: 1.00 | dt: 224ms | tok/sec: 4,563 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 8.379375 | lrm: 1.00 | dt: 242ms | tok/sec: 4,228 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00157 (11.0%) | loss: 6.373403 | lrm: 1.00 | dt: 233ms | tok/sec: 4,391 | mfu: 0.0% | epoch: 1 | remaining: 267s    
step 00158 (11.1%) | loss: 6.385927 | lrm: 1.00 | dt: 245ms | tok/sec: 4,176 | mfu: 0.0% | epoch: 1 | remaining: 267s    
step 00159 (11.1%) | loss: 6.386739 | lrm: 1.00 | dt: 259ms | tok/sec: 3,950 | mfu: 0.0% | epoch: 1 | remaining: 266s    
step 00160 (11.2%) | loss: 6.426443 | lrm: 1.00 | dt: 213ms | tok/sec: 4,800 | mfu: 0.0% | epoch: 1 | remaining: 266s    
step 00161 (11.3%) | loss: 6.420576 | lrm: 1.00 | dt: 266ms | tok/sec: 3,851 | mfu: 0.0% | epoch: 1 | remaining: 266s    
step 00162 (11.4%) | loss: 6.410003 | lrm: 1.00 | dt: 233ms | tok/sec: 4,390 | mfu: 0.0% | epoch: 1 | remaining: 266s    
step 00163 (11.5%) | loss: 6.445347 | lrm: 1.00 | dt: 214ms | tok/sec: 4,775 | mfu: 0.0% | epoch: 1 | remaining: 265s    
step 00164 (11.5%) | loss: 6.473022 | lrm: 1.00 | dt: 239ms | tok/sec: 4,293 | mfu: 0.0% | epoch: 1 | remaining: 265s    
step 00165 (11.6%) | loss: 6.478535 | lrm: 1.00 | dt: 210ms | tok/sec: 4,870 | mfu: 0.0% | epoch: 1 | remaining: 265s    
step 00166 (11.7%) | loss: 6.454466 | lrm: 1.00 | dt: 201ms | tok/sec: 5,084 | mfu: 0.0% | epoch: 1 | remaining: 265s    
step 00167 (11.8%) | loss: 6.445200 | lrm: 1.00 | dt: 247ms | tok/sec: 4,145 | mfu: 0.0% | epoch: 1 | remaining: 264s    
step 00168 (11.8%) | loss: 6.421134 | lrm: 1.00 | dt: 213ms | tok/sec: 4,815 | mfu: 0.0% | epoch: 1 | remaining: 264s    
step 00169 (11.9%) | loss: 6.406614 | lrm: 1.00 | dt: 237ms | tok/sec: 4,316 | mfu: 0.0% | epoch: 1 | remaining: 264s    
step 00170 (12.0%) | loss: 6.413657 | lrm: 1.00 | dt: 216ms | tok/sec: 4,742 | mfu: 0.0% | epoch: 1 | remaining: 264s    
step 00171 (12.1%) | loss: 6.413342 | lrm: 1.00 | dt: 236ms | tok/sec: 4,343 | mfu: 0.0% | epoch: 1 | remaining: 264s    
step 00172 (12.1%) | loss: 6.449545 | lrm: 1.00 | dt: 226ms | tok/sec: 4,537 | mfu: 0.0% | epoch: 1 | remaining: 263s    
step 00173 (12.2%) | loss: 6.451005 | lrm: 1.00 | dt: 215ms | tok/sec: 4,762 | mfu: 0.0% | epoch: 1 | remaining: 263s    
step 00174 (12.3%) | loss: 6.459951 | lrm: 1.00 | dt: 274ms | tok/sec: 3,730 | mfu: 0.0% | epoch: 1 | remaining: 263s    
step 00175 (12.4%) | loss: 6.424531 | lrm: 1.00 | dt: 285ms | tok/sec: 3,598 | mfu: 0.0% | epoch: 1 | remaining: 263s    
step 00176 (12.5%) | loss: 6.444883 | lrm: 1.00 | dt: 273ms | tok/sec: 3,756 | mfu: 0.0% | epoch: 1 | remaining: 262s    
step 00177 (12.6%) | loss: 6.459452 | lrm: 1.00 | dt: 217ms | tok/sec: 4,728 | mfu: 0.0% | epoch: 1 | remaining: 262s    
step 00178 (12.6%) | loss: 6.464328 | lrm: 1.00 | dt: 247ms | tok/sec: 4,152 | mfu: 0.0% | epoch: 1 | remaining: 262s    
step 00179 (12.7%) | loss: 6.427587 | lrm: 1.00 | dt: 274ms | tok/sec: 3,732 | mfu: 0.0% | epoch: 1 | remaining: 262s    
step 00180 (12.8%) | loss: 6.444628 | lrm: 1.00 | dt: 211ms | tok/sec: 4,844 | mfu: 0.0% | epoch: 1 | remaining: 261s    
step 00181 (12.9%) | loss: 6.487317 | lrm: 1.00 | dt: 234ms | tok/sec: 4,372 | mfu: 0.0% | epoch: 1 | remaining: 261s    
step 00182 (13.0%) | loss: 6.415682 | lrm: 1.00 | dt: 224ms | tok/sec: 4,563 | mfu: 0.0% | epoch: 1 | remaining: 261s    
step 00183 (13.0%) | loss: 6.420114 | lrm: 1.00 | dt: 231ms | tok/sec: 4,426 | mfu: 0.0% | epoch: 1 | remaining: 261s    
step 00184 (13.1%) | loss: 6.423119 | lrm: 1.00 | dt: 209ms | tok/sec: 4,903 | mfu: 0.0% | epoch: 1 | remaining: 260s    
step 00185 (13.2%) | loss: 6.433323 | lrm: 1.00 | dt: 209ms | tok/sec: 4,904 | mfu: 0.0% | epoch: 1 | remaining: 260s    
step 00186 (13.2%) | loss: 6.457230 | lrm: 1.00 | dt: 209ms | tok/sec: 4,906 | mfu: 0.0% | epoch: 1 | remaining: 260s    
step 00187 (13.3%) | loss: 6.437739 | lrm: 1.00 | dt: 215ms | tok/sec: 4,770 | mfu: 0.0% | epoch: 1 | remaining: 260s    
step 00188 (13.4%) | loss: 6.448430 | lrm: 1.00 | dt: 227ms | tok/sec: 4,516 | mfu: 0.0% | epoch: 1 | remaining: 260s    
step 00189 (13.5%) | loss: 6.484914 | lrm: 1.00 | dt: 237ms | tok/sec: 4,315 | mfu: 0.0% | epoch: 1 | remaining: 259s    
step 00190 (13.5%) | loss: 6.444005 | lrm: 1.00 | dt: 210ms | tok/sec: 4,884 | mfu: 0.0% | epoch: 1 | remaining: 259s    
step 00191 (13.6%) | loss: 6.456672 | lrm: 1.00 | dt: 223ms | tok/sec: 4,596 | mfu: 0.0% | epoch: 1 | remaining: 259s    
step 00192 (13.7%) | loss: 6.488962 | lrm: 1.00 | dt: 235ms | tok/sec: 4,353 | mfu: 0.0% | epoch: 1 | remaining: 259s    
step 00193 (13.8%) | loss: 6.461444 | lrm: 1.00 | dt: 242ms | tok/sec: 4,238 | mfu: 0.0% | epoch: 1 | remaining: 258s    
step 00194 (13.8%) | loss: 6.473286 | lrm: 1.00 | dt: 242ms | tok/sec: 4,227 | mfu: 0.0% | epoch: 1 | remaining: 258s    
step 00195 (13.9%) | loss: 6.498281 | lrm: 1.00 | dt: 250ms | tok/sec: 4,093 | mfu: 0.0% | epoch: 1 | remaining: 258s    
step 00196 (14.0%) | loss: 6.538071 | lrm: 1.00 | dt: 257ms | tok/sec: 3,977 | mfu: 0.0% | epoch: 1 | remaining: 258s    
step 00197 (14.1%) | loss: 6.545750 | lrm: 1.00 | dt: 228ms | tok/sec: 4,487 | mfu: 0.0% | epoch: 1 | remaining: 257s    
step 00198 (14.2%) | loss: 6.532225 | lrm: 1.00 | dt: 227ms | tok/sec: 4,507 | mfu: 0.0% | epoch: 1 | remaining: 257s    
step 00199 (14.2%) | loss: 6.518568 | lrm: 1.00 | dt: 252ms | tok/sec: 4,056 | mfu: 0.0% | epoch: 1 | remaining: 257s    
step 00200 (14.3%) | loss: 6.497223 | lrm: 1.00 | dt: 259ms | tok/sec: 3,953 | mfu: 0.0% | epoch: 1 | remaining: 257s    
step 00201 (14.4%) | loss: 6.524936 | lrm: 1.00 | dt: 227ms | tok/sec: 4,518 | mfu: 0.0% | epoch: 1 | remaining: 257s    
step 00202 (14.5%) | loss: 6.488977 | lrm: 1.00 | dt: 273ms | tok/sec: 3,745 | mfu: 0.0% | epoch: 1 | remaining: 256s    
step 00203 (14.6%) | loss: 6.468334 | lrm: 1.00 | dt: 327ms | tok/sec: 3,130 | mfu: 0.0% | epoch: 1 | remaining: 256s    
step 00204 (14.7%) | loss: 6.488625 | lrm: 1.00 | dt: 200ms | tok/sec: 5,108 | mfu: 0.0% | epoch: 1 | remaining: 256s    
step 00205 (14.8%) | loss: 6.477740 | lrm: 1.00 | dt: 261ms | tok/sec: 3,921 | mfu: 0.0% | epoch: 1 | remaining: 255s    
step 00206 (14.8%) | loss: 6.496206 | lrm: 1.00 | dt: 256ms | tok/sec: 3,992 | mfu: 0.0% | epoch: 1 | remaining: 255s    
step 00207 (14.9%) | loss: 6.470334 | lrm: 1.00 | dt: 235ms | tok/sec: 4,351 | mfu: 0.0% | epoch: 1 | remaining: 255s    
step 00208 (15.0%) | loss: 6.447520 | lrm: 1.00 | dt: 285ms | tok/sec: 3,587 | mfu: 0.0% | epoch: 1 | remaining: 255s    
step 00209 (15.1%) | loss: 6.439179 | lrm: 1.00 | dt: 207ms | tok/sec: 4,953 | mfu: 0.0% | epoch: 1 | remaining: 254s    
step 00210 (15.2%) | loss: 6.485610 | lrm: 1.00 | dt: 209ms | tok/sec: 4,895 | mfu: 0.0% | epoch: 1 | remaining: 254s    
step 00211 (15.2%) | loss: 6.436172 | lrm: 1.00 | dt: 212ms | tok/sec: 4,829 | mfu: 0.0% | epoch: 1 | remaining: 254s    
step 00212 (15.3%) | loss: 6.400712 | lrm: 1.00 | dt: 243ms | tok/sec: 4,217 | mfu: 0.0% | epoch: 1 | remaining: 254s    
step 00213 (15.4%) | loss: 6.416129 | lrm: 1.00 | dt: 206ms | tok/sec: 4,981 | mfu: 0.0% | epoch: 1 | remaining: 254s    
step 00214 (15.5%) | loss: 6.393910 | lrm: 1.00 | dt: 210ms | tok/sec: 4,877 | mfu: 0.0% | epoch: 1 | remaining: 253s    
step 00215 (15.5%) | loss: 6.373571 | lrm: 1.00 | dt: 251ms | tok/sec: 4,078 | mfu: 0.0% | epoch: 1 | remaining: 253s    
step 00216 (15.6%) | loss: 6.368493 | lrm: 1.00 | dt: 222ms | tok/sec: 4,620 | mfu: 0.0% | epoch: 1 | remaining: 253s    
step 00217 (15.7%) | loss: 6.369027 | lrm: 1.00 | dt: 248ms | tok/sec: 4,134 | mfu: 0.0% | epoch: 1 | remaining: 253s    
step 00218 (15.8%) | loss: 6.318457 | lrm: 1.00 | dt: 228ms | tok/sec: 4,498 | mfu: 0.0% | epoch: 1 | remaining: 252s    
step 00219 (15.9%) | loss: 6.263742 | lrm: 1.00 | dt: 258ms | tok/sec: 3,975 | mfu: 0.0% | epoch: 1 | remaining: 252s    
step 00220 (15.9%) | loss: 6.184947 | lrm: 1.00 | dt: 278ms | tok/sec: 3,686 | mfu: 0.0% | epoch: 1 | remaining: 252s    
step 00221 (16.0%) | loss: 6.181764 | lrm: 1.00 | dt: 254ms | tok/sec: 4,035 | mfu: 0.0% | epoch: 1 | remaining: 252s    
step 00222 (16.1%) | loss: 6.224542 | lrm: 1.00 | dt: 227ms | tok/sec: 4,506 | mfu: 0.0% | epoch: 1 | remaining: 251s    
step 00223 (16.2%) | loss: 6.229849 | lrm: 1.00 | dt: 268ms | tok/sec: 3,824 | mfu: 0.0% | epoch: 1 | remaining: 251s    
step 00224 (16.3%) | loss: 6.271120 | lrm: 1.00 | dt: 283ms | tok/sec: 3,621 | mfu: 0.0% | epoch: 1 | remaining: 251s    
step 00225 (16.4%) | loss: 6.271664 | lrm: 1.00 | dt: 250ms | tok/sec: 4,093 | mfu: 0.0% | epoch: 1 | remaining: 251s    
step 00226 (16.5%) | loss: 6.254420 | lrm: 1.00 | dt: 230ms | tok/sec: 4,453 | mfu: 0.0% | epoch: 1 | remaining: 250s    
step 00227 (16.5%) | loss: 6.261033 | lrm: 1.00 | dt: 223ms | tok/sec: 4,588 | mfu: 0.0% | epoch: 1 | remaining: 250s    
step 00228 (16.6%) | loss: 6.291581 | lrm: 1.00 | dt: 225ms | tok/sec: 4,556 | mfu: 0.0% | epoch: 1 | remaining: 250s    
step 00229 (16.7%) | loss: 6.259995 | lrm: 1.00 | dt: 215ms | tok/sec: 4,752 | mfu: 0.0% | epoch: 1 | remaining: 250s    
step 00230 (16.8%) | loss: 6.211653 | lrm: 1.00 | dt: 217ms | tok/sec: 4,713 | mfu: 0.0% | epoch: 1 | remaining: 250s    
step 00231 (16.8%) | loss: 6.204014 | lrm: 1.00 | dt: 212ms | tok/sec: 4,827 | mfu: 0.0% | epoch: 1 | remaining: 249s    
step 00232 (16.9%) | loss: 6.215802 | lrm: 1.00 | dt: 278ms | tok/sec: 3,679 | mfu: 0.0% | epoch: 1 | remaining: 249s    
step 00233 (17.0%) | loss: 6.237055 | lrm: 1.00 | dt: 212ms | tok/sec: 4,835 | mfu: 0.0% | epoch: 1 | remaining: 249s    
step 00234 (17.1%) | loss: 6.323855 | lrm: 1.00 | dt: 213ms | tok/sec: 4,815 | mfu: 0.0% | epoch: 1 | remaining: 249s    
step 00235 (17.1%) | loss: 6.313223 | lrm: 1.00 | dt: 209ms | tok/sec: 4,901 | mfu: 0.0% | epoch: 1 | remaining: 248s    
step 00236 (17.2%) | loss: 6.323931 | lrm: 1.00 | dt: 226ms | tok/sec: 4,537 | mfu: 0.0% | epoch: 1 | remaining: 248s    
step 00237 (17.3%) | loss: 6.400796 | lrm: 1.00 | dt: 250ms | tok/sec: 4,087 | mfu: 0.0% | epoch: 1 | remaining: 248s    
step 00238 (17.4%) | loss: 6.366001 | lrm: 1.00 | dt: 214ms | tok/sec: 4,790 | mfu: 0.0% | epoch: 1 | remaining: 248s    
step 00239 (17.4%) | loss: 6.329541 | lrm: 1.00 | dt: 208ms | tok/sec: 4,916 | mfu: 0.0% | epoch: 1 | remaining: 247s    
step 00240 (17.5%) | loss: 6.359081 | lrm: 1.00 | dt: 209ms | tok/sec: 4,889 | mfu: 0.0% | epoch: 1 | remaining: 247s    
step 00241 (17.6%) | loss: 6.340337 | lrm: 1.00 | dt: 207ms | tok/sec: 4,938 | mfu: 0.0% | epoch: 1 | remaining: 247s    
step 00242 (17.6%) | loss: 6.315952 | lrm: 1.00 | dt: 214ms | tok/sec: 4,793 | mfu: 0.0% | epoch: 1 | remaining: 247s    
step 00243 (17.7%) | loss: 6.317664 | lrm: 1.00 | dt: 210ms | tok/sec: 4,866 | mfu: 0.0% | epoch: 1 | remaining: 247s    
step 00244 (17.8%) | loss: 6.315305 | lrm: 1.00 | dt: 254ms | tok/sec: 4,027 | mfu: 0.0% | epoch: 1 | remaining: 246s    
step 00245 (17.9%) | loss: 6.336649 | lrm: 1.00 | dt: 277ms | tok/sec: 3,698 | mfu: 0.0% | epoch: 1 | remaining: 246s    
step 00246 (18.0%) | loss: 6.342320 | lrm: 1.00 | dt: 241ms | tok/sec: 4,250 | mfu: 0.0% | epoch: 1 | remaining: 246s    
step 00247 (18.0%) | loss: 6.356143 | lrm: 1.00 | dt: 217ms | tok/sec: 4,720 | mfu: 0.0% | epoch: 1 | remaining: 246s    
step 00248 (18.1%) | loss: 6.296508 | lrm: 1.00 | dt: 207ms | tok/sec: 4,953 | mfu: 0.0% | epoch: 1 | remaining: 245s    
step 00249 (18.2%) | loss: 6.287047 | lrm: 1.00 | dt: 224ms | tok/sec: 4,573 | mfu: 0.0% | epoch: 1 | remaining: 245s    
step 00250 (18.3%) | loss: 6.315925 | lrm: 1.00 | dt: 241ms | tok/sec: 4,253 | mfu: 0.0% | epoch: 1 | remaining: 245s    
step 00251 (18.3%) | loss: 6.330382 | lrm: 1.00 | dt: 234ms | tok/sec: 4,369 | mfu: 0.0% | epoch: 1 | remaining: 245s    
step 00252 (18.4%) | loss: 6.314801 | lrm: 1.00 | dt: 208ms | tok/sec: 4,911 | mfu: 0.0% | epoch: 1 | remaining: 245s    
step 00253 (18.5%) | loss: 6.283942 | lrm: 1.00 | dt: 238ms | tok/sec: 4,311 | mfu: 0.0% | epoch: 1 | remaining: 244s    
step 00254 (18.6%) | loss: 6.266211 | lrm: 1.00 | dt: 220ms | tok/sec: 4,654 | mfu: 0.0% | epoch: 1 | remaining: 244s    
step 00255 (18.6%) | loss: 6.237169 | lrm: 1.00 | dt: 227ms | tok/sec: 4,504 | mfu: 0.0% | epoch: 1 | remaining: 244s    
step 00256 (18.7%) | loss: 6.186632 | lrm: 1.00 | dt: 248ms | tok/sec: 4,125 | mfu: 0.0% | epoch: 1 | remaining: 244s    
step 00257 (18.8%) | loss: 6.193007 | lrm: 1.00 | dt: 202ms | tok/sec: 5,080 | mfu: 0.0% | epoch: 1 | remaining: 243s    
step 00258 (18.9%) | loss: 6.208403 | lrm: 1.00 | dt: 228ms | tok/sec: 4,490 | mfu: 0.0% | epoch: 1 | remaining: 243s    
step 00259 (18.9%) | loss: 6.216238 | lrm: 1.00 | dt: 271ms | tok/sec: 3,773 | mfu: 0.0% | epoch: 1 | remaining: 243s    
step 00260 (19.0%) | loss: 6.257970 | lrm: 1.00 | dt: 307ms | tok/sec: 3,338 | mfu: 0.0% | epoch: 1 | remaining: 243s    
step 00261 (19.1%) | loss: 6.274546 | lrm: 1.00 | dt: 226ms | tok/sec: 4,530 | mfu: 0.0% | epoch: 1 | remaining: 242s    
step 00262 (19.2%) | loss: 6.244815 | lrm: 1.00 | dt: 284ms | tok/sec: 3,599 | mfu: 0.0% | epoch: 1 | remaining: 242s    
step 00263 (19.3%) | loss: 6.226759 | lrm: 1.00 | dt: 215ms | tok/sec: 4,767 | mfu: 0.0% | epoch: 1 | remaining: 242s    
step 00264 (19.4%) | loss: 6.221668 | lrm: 1.00 | dt: 223ms | tok/sec: 4,598 | mfu: 0.0% | epoch: 1 | remaining: 242s    
step 00265 (19.4%) | loss: 6.204046 | lrm: 1.00 | dt: 223ms | tok/sec: 4,587 | mfu: 0.0% | epoch: 1 | remaining: 241s    
step 00266 (19.5%) | loss: 6.223759 | lrm: 1.00 | dt: 228ms | tok/sec: 4,496 | mfu: 0.0% | epoch: 1 | remaining: 241s    
step 00267 (19.6%) | loss: 6.230252 | lrm: 1.00 | dt: 226ms | tok/sec: 4,524 | mfu: 0.0% | epoch: 1 | remaining: 241s    
step 00268 (19.7%) | loss: 6.253947 | lrm: 1.00 | dt: 227ms | tok/sec: 4,501 | mfu: 0.0% | epoch: 1 | remaining: 241s    
step 00269 (19.7%) | loss: 6.276681 | lrm: 1.00 | dt: 204ms | tok/sec: 5,008 | mfu: 0.0% | epoch: 1 | remaining: 241s    
step 00270 (19.8%) | loss: 6.277324 | lrm: 1.00 | dt: 206ms | tok/sec: 4,966 | mfu: 0.0% | epoch: 1 | remaining: 240s    
step 00271 (19.9%) | loss: 6.256387 | lrm: 1.00 | dt: 207ms | tok/sec: 4,938 | mfu: 0.0% | epoch: 1 | remaining: 240s    
step 00272 (20.0%) | loss: 6.286794 | lrm: 1.00 | dt: 217ms | tok/sec: 4,722 | mfu: 0.0% | epoch: 1 | remaining: 240s    
step 00273 (20.0%) | loss: 6.264367 | lrm: 1.00 | dt: 216ms | tok/sec: 4,738 | mfu: 0.0% | epoch: 1 | remaining: 240s    
step 00274 (20.1%) | loss: 6.269983 | lrm: 1.00 | dt: 256ms | tok/sec: 3,992 | mfu: 0.0% | epoch: 1 | remaining: 239s    
step 00275 (20.2%) | loss: 6.279509 | lrm: 1.00 | dt: 280ms | tok/sec: 3,658 | mfu: 0.0% | epoch: 1 | remaining: 239s    
step 00276 (20.3%) | loss: 6.230537 | lrm: 1.00 | dt: 243ms | tok/sec: 4,211 | mfu: 0.0% | epoch: 1 | remaining: 239s    
step 00277 (20.4%) | loss: 6.250161 | lrm: 1.00 | dt: 261ms | tok/sec: 3,924 | mfu: 0.0% | epoch: 1 | remaining: 239s    
step 00278 (20.4%) | loss: 6.302512 | lrm: 1.00 | dt: 241ms | tok/sec: 4,243 | mfu: 0.0% | epoch: 1 | remaining: 238s    
step 00279 (20.5%) | loss: 6.261072 | lrm: 1.00 | dt: 253ms | tok/sec: 4,047 | mfu: 0.0% | epoch: 1 | remaining: 238s    
step 00280 (20.6%) | loss: 6.216966 | lrm: 1.00 | dt: 235ms | tok/sec: 4,351 | mfu: 0.0% | epoch: 1 | remaining: 238s    
step 00281 (20.7%) | loss: 6.185772 | lrm: 1.00 | dt: 226ms | tok/sec: 4,538 | mfu: 0.0% | epoch: 1 | remaining: 238s    
step 00282 (20.8%) | loss: 6.092170 | lrm: 1.00 | dt: 226ms | tok/sec: 4,521 | mfu: 0.0% | epoch: 1 | remaining: 237s    
step 00283 (20.8%) | loss: 6.143467 | lrm: 1.00 | dt: 199ms | tok/sec: 5,145 | mfu: 0.0% | epoch: 1 | remaining: 237s    
step 00284 (20.9%) | loss: 6.089617 | lrm: 1.00 | dt: 209ms | tok/sec: 4,900 | mfu: 0.0% | epoch: 1 | remaining: 237s    
step 00285 (21.0%) | loss: 6.164307 | lrm: 1.00 | dt: 259ms | tok/sec: 3,956 | mfu: 0.0% | epoch: 1 | remaining: 237s    
step 00286 (21.1%) | loss: 6.159052 | lrm: 1.00 | dt: 253ms | tok/sec: 4,055 | mfu: 0.0% | epoch: 1 | remaining: 237s    
step 00287 (21.1%) | loss: 6.151416 | lrm: 1.00 | dt: 251ms | tok/sec: 4,082 | mfu: 0.0% | epoch: 1 | remaining: 236s    
step 00288 (21.2%) | loss: 6.168055 | lrm: 1.00 | dt: 276ms | tok/sec: 3,704 | mfu: 0.0% | epoch: 1 | remaining: 236s    
step 00289 (21.3%) | loss: 6.185219 | lrm: 1.00 | dt: 224ms | tok/sec: 4,570 | mfu: 0.0% | epoch: 1 | remaining: 236s    
step 00290 (21.4%) | loss: 6.199980 | lrm: 1.00 | dt: 267ms | tok/sec: 3,831 | mfu: 0.0% | epoch: 1 | remaining: 236s    
step 00291 (21.5%) | loss: 6.181233 | lrm: 1.00 | dt: 239ms | tok/sec: 4,287 | mfu: 0.0% | epoch: 1 | remaining: 235s    
step 00292 (21.6%) | loss: 6.176914 | lrm: 1.00 | dt: 239ms | tok/sec: 4,275 | mfu: 0.0% | epoch: 1 | remaining: 235s    
step 00293 (21.6%) | loss: 6.192425 | lrm: 1.00 | dt: 261ms | tok/sec: 3,917 | mfu: 0.0% | epoch: 1 | remaining: 235s    
step 00294 (21.7%) | loss: 6.230687 | lrm: 1.00 | dt: 254ms | tok/sec: 4,037 | mfu: 0.0% | epoch: 1 | remaining: 235s    
step 00295 (21.8%) | loss: 6.194803 | lrm: 1.00 | dt: 247ms | tok/sec: 4,148 | mfu: 0.0% | epoch: 1 | remaining: 234s    
step 00296 (21.9%) | loss: 6.173147 | lrm: 1.00 | dt: 276ms | tok/sec: 3,705 | mfu: 0.0% | epoch: 1 | remaining: 234s    
step 00297 (22.0%) | loss: 6.198768 | lrm: 1.00 | dt: 247ms | tok/sec: 4,152 | mfu: 0.0% | epoch: 1 | remaining: 234s    
step 00298 (22.1%) | loss: 6.143969 | lrm: 1.00 | dt: 249ms | tok/sec: 4,119 | mfu: 0.0% | epoch: 1 | remaining: 234s    
step 00299 (22.2%) | loss: 6.147879 | lrm: 1.00 | dt: 282ms | tok/sec: 3,628 | mfu: 0.0% | epoch: 1 | remaining: 233s    
step 00300 (22.2%) | loss: 6.133975 | lrm: 1.00 | dt: 253ms | tok/sec: 4,043 | mfu: 0.0% | epoch: 1 | remaining: 233s    
step 00301 (22.3%) | loss: 6.120926 | lrm: 1.00 | dt: 230ms | tok/sec: 4,456 | mfu: 0.0% | epoch: 1 | remaining: 233s    
step 00302 (22.4%) | loss: 6.105509 | lrm: 1.00 | dt: 219ms | tok/sec: 4,680 | mfu: 0.0% | epoch: 1 | remaining: 233s    
step 00303 (22.5%) | loss: 6.031796 | lrm: 1.00 | dt: 248ms | tok/sec: 4,124 | mfu: 0.0% | epoch: 1 | remaining: 232s    
step 00304 (22.6%) | loss: 6.015400 | lrm: 1.00 | dt: 257ms | tok/sec: 3,979 | mfu: 0.0% | epoch: 1 | remaining: 232s    
step 00305 (22.7%) | loss: 6.010447 | lrm: 1.00 | dt: 255ms | tok/sec: 4,016 | mfu: 0.0% | epoch: 1 | remaining: 232s    
step 00306 (22.7%) | loss: 6.016962 | lrm: 1.00 | dt: 225ms | tok/sec: 4,554 | mfu: 0.0% | epoch: 1 | remaining: 232s    
step 00307 (22.8%) | loss: 6.029184 | lrm: 1.00 | dt: 240ms | tok/sec: 4,260 | mfu: 0.0% | epoch: 1 | remaining: 231s    
step 00308 (22.9%) | loss: 6.082324 | lrm: 1.00 | dt: 257ms | tok/sec: 3,980 | mfu: 0.0% | epoch: 1 | remaining: 231s    
step 00309 (23.0%) | loss: 6.127298 | lrm: 1.00 | dt: 267ms | tok/sec: 3,831 | mfu: 0.0% | epoch: 1 | remaining: 231s    
step 00310 (23.1%) | loss: 6.156471 | lrm: 1.00 | dt: 204ms | tok/sec: 5,019 | mfu: 0.0% | epoch: 1 | remaining: 231s    
step 00311 (23.1%) | loss: 6.108355 | lrm: 1.00 | dt: 210ms | tok/sec: 4,868 | mfu: 0.0% | epoch: 1 | remaining: 230s    
step 00312 (23.2%) | loss: 6.111376 | lrm: 1.00 | dt: 213ms | tok/sec: 4,815 | mfu: 0.0% | epoch: 1 | remaining: 230s    
step 00313 (23.3%) | loss: 6.089443 | lrm: 1.00 | dt: 225ms | tok/sec: 4,558 | mfu: 0.0% | epoch: 1 | remaining: 230s    
step 00314 (23.3%) | loss: 6.095746 | lrm: 1.00 | dt: 204ms | tok/sec: 5,017 | mfu: 0.0% | epoch: 1 | remaining: 230s    
step 00315 (23.4%) | loss: 6.092238 | lrm: 1.00 | dt: 284ms | tok/sec: 3,610 | mfu: 0.0% | epoch: 1 | remaining: 229s    
